Shipment_ID,Delivery_Time,Transportation_Cost,Shipping_Mode,Quantity,Distance,Delivery_Status
S001,0.33333333333333326,0.16666666666666663,Air,10,500,Delivered
S002,0.6666666666666665,0.41666666666666663,Road,15,700,Delivered
S003,0.5,0.6666666666666666,Air,20,900,Delayed
S004,0.16666666666666663,0.39583333333333337,Rail,12,400,Delivered
S005,0.5,0.33333333333333337,Road,18,650,Delivered
S006,0.8333333333333333,0.8333333333333334,Air,25,1100,Delayed
S007,0.33333333333333326,0.2500000000000001,Air,14,550,Delivered
S009,0.0,0.0,Rail,8,300,Delivered
S010,0.6666666666666665,0.5000000000000001,Road,16,750,Delivered
S011,0.5,0.3750000000000001,Road,18,650,Delivered
S012,0.33333333333333326,0.16666666666666663,Air,10,500,Delivered
S013,1.0,1.0,Sea,22,1500,Delayed
S014,0.16666666666666663,0.08333333333333337,Rail,11,350,Delivered
S015,0.5,0.5833333333333334,Road,19,850,Delivered
